,DEPTH_M,DIAMETER_MM,LENGTH_M,JOB_COST,JOB_TYPE_Replace,MATERIAL_CI,MATERIAL_ST
1215,2.77,125,15.51,3040.5395129999997,0,0,0
1216,1.64,200,16.8,3859.745053,0,0,0
1217,2.58,63,10.95,1409.22036,0,0,0
1218,1.88,125,37.94,3119.678079,0,1,0
1219,2.34,450,23.13,14668.53339,0,0,0
1220,2.45,63,34.32,2079.694926,0,1,0
1221,3.47,90,30.25,4005.1953409999996,0,0,1
1222,3.47,50,20.85,1942.7736309999998,0,1,0
1223,2.51,63,36.99,2525.615667,0,0,0
1224,2.04,200,32.57,5006.416882,0,0,0
1225,2.79,90,21.12,3255.6231510000002,0,0,1
1226,1.44,50,21.57,782.1072301,0,0,1
1227,1.43,125,28.06,2340.9402440000003,0,0,1
1228,2.72,125,28.76,4827.210656,0,0,1
1229,2.0,125,19.59,2682.7552530000003,0,0,1
1230,4.53,90,16.94,4489.0753159999995,0,0,0
1231,4.69,90,23.52,5099.82874,0,0,0
1232,2.94,50,9.26,957.9532785,0,0,0
1233,3.16,63,25.37,2277.033083,0,0,1
1234,3.05,90,25.33,4020.982821,0,0,0
1235,1.83,90,32.81,2523.177768,0,1,0
1236,1.72,315,17.59,5605.4477560000005,0,0,0
1237,1.68,200,23.9,3762.0983539999997,0,0,1
1238,1.96,63,19.14,1076.543974,0,0,0
1239,2.59,63,33.01,2289.924217,0,0,1
1240,2.64,200,32.54,7398.133140999999,0,0,1
1241,1.81,50,14.98,973.7997867,0,1,0
1242,1.89,90,26.97,2001.6650170000003,0,0,0
1243,3.16,200,17.72,6865.095670000001,0,1,0
1244,1.62,200,21.26,3585.071005,0,1,0
1245,2.65,125,37.57,5713.473661,0,0,1
1246,4.07,200,15.59,9097.327718,0,0,0
1247,2.14,90,30.77,2451.562351,0,1,0
1248,3.85,90,16.91,4500.214893,0,0,0
1249,1.66,90,25.37,2517.391117,0,0,0
1250,4.01,63,31.9,3510.137689,0,1,0
1251,2.59,200,24.45,6590.162085,0,0,1
1252,2.64,250,25.24,7966.7713650000005,0,0,0
1253,2.09,90,44.07,3126.359481,0,0,0
1254,2.62,450,30.12,13988.148169999999,0,0,0
1255,2.31,250,16.41,5692.296095000001,0,1,0
1256,3.19,125,37.81,5490.077757999999,0,0,0
1257,1.66,50,13.0,734.8583235,0,0,0
1258,3.96,125,31.7,5924.599367,0,0,1
1259,2.59,250,16.99,7707.445637000001,0,0,1
1260,1.87,63,30.24,1377.267304,0,0,0
1261,2.55,125,15.46,2513.5766120000003,0,0,0
1262,3.53,200,30.36,9962.036314,0,1,0
1263,1.28,90,33.41,1804.3447260000003,0,0,0
1264,2.85,125,24.97,4777.689584000001,0,0,0
1265,3.73,90,49.71,5087.097965999999,0,0,0
1266,2.35,63,37.23,2397.84899,0,0,0
1267,3.37,125,31.6,6239.313566,0,0,0
1268,2.47,90,22.68,2590.8833050000003,0,1,0
1269,3.99,125,28.9,6904.015501999999,0,0,1
1270,3.36,90,24.97,3108.7194329999998,0,0,0
1271,3.4,250,33.12,12097.35164,0,0,0
1272,2.09,250,13.87,5486.7882899999995,0,0,0
1273,3.68,90,24.23,4109.423643,0,0,0
1274,2.82,63,14.04,1732.1509190000002,0,1,0
1275,2.1,125,21.12,2643.761405,0,0,1
1276,2.7,50,40.24,2247.176428,0,0,0
1277,2.6,63,29.85,2279.4747620000003,0,0,0
1278,3.49,200,11.35,5639.429811,0,0,0
1279,2.7,125,20.05,4409.640082,0,0,0
1280,2.67,315,18.62,10903.23056,0,1,0
1281,2.55,90,35.94,3668.924369,0,0,0
1282,1.73,63,17.49,1202.6010039999999,0,1,0
1283,2.45,200,43.77,6506.518732,0,0,0
1284,1.89,250,28.55,6815.407176000001,0,0,1
1285,1.7,63,41.21,1549.758231,0,0,0
1286,2.33,90,15.45,2289.327201,0,1,0
1287,1.89,125,22.79,2853.535241,0,0,0
1288,2.3,200,27.16,6261.232940999999,0,0,1
1289,1.47,125,22.34,2348.976405,0,0,0
1290,2.75,90,13.63,2296.3661690000004,0,0,0
1291,4.08,200,32.99,13637.51556,0,1,0
1292,2.76,63,29.24,2518.9923870000002,0,0,0
1293,2.02,50,18.25,1283.30242,0,1,0
1294,3.29,90,32.29,3888.5340880000003,0,1,0
1295,2.01,315,14.17,6083.8422740000005,0,1,0
1296,3.09,63,20.74,2312.99803,0,0,0
1297,3.29,125,28.41,5631.802831,0,0,1
1298,2.34,50,44.15,1911.538232,0,0,0
1299,3.16,125,25.28,5302.796274,0,1,0
1300,3.55,90,32.45,4536.602018,0,1,0
1301,2.14,125,31.37,3711.768692,0,0,0
1302,2.4,250,30.71,8290.22056,0,0,0
1303,1.35,63,28.83,1350.31054,0,0,0
1304,2.65,63,25.41,2281.59673,0,0,0
1305,2.25,125,37.6,3677.968426,0,1,0
1306,2.08,50,18.13,1222.87349,0,0,0
1307,1.74,125,17.07,2456.462289,0,0,0
1308,3.63,50,18.85,2013.721835,0,1,0
1309,2.44,90,34.09,3162.487452,0,0,1
1310,3.17,63,23.41,2441.900736,0,1,0
1311,1.75,63,34.79,1540.732679,0,0,0
1312,1.94,63,20.08,1173.204677,0,1,0
1313,2.41,63,28.21,2243.538195,0,0,0
1314,3.12,315,26.02,12287.02272,0,0,1
1315,3.03,200,15.94,6152.48373,0,1,0
1316,3.73,125,24.02,5622.882706,0,0,1
1317,2.92,63,22.4,2041.479013,0,1,0
1318,3.14,90,35.38,4077.589912,0,0,1
1319,1.9,125,36.14,2840.05093,0,0,1
1320,1.87,125,29.54,3452.112372,0,1,0
1321,3.02,90,35.54,3873.302108,0,0,0
1322,1.86,125,12.76,2383.162966,0,0,0
1323,1.87,90,19.81,1850.3564440000002,0,0,0
1324,3.75,63,26.78,3246.549957,0,1,0
1325,2.35,63,39.02,2180.215875,0,0,0
1326,3.03,90,15.47,3004.2339620000002,0,1,0
1327,3.13,125,26.01,4776.148453,0,0,0
1328,3.51,125,27.93,5920.194697,0,0,1
1329,2.92,63,21.79,2149.0237829999996,0,0,1
1330,3.46,90,20.82,3114.59869,0,1,0
1331,3.92,50,13.81,2015.7547149999998,0,0,0
1332,4.67,200,40.55,12821.02362,0,0,0
1333,4.64,125,23.34,7743.743361,0,0,1
1334,4.06,90,26.21,5963.813127,0,0,0
1335,4.16,125,25.64,6978.903656999999,0,0,0
1336,2.65,125,14.97,3161.600203,0,0,1
1337,2.68,63,26.73,2065.378642,0,0,0
1338,3.83,50,24.84,2272.696793,0,0,0
1339,2.4,125,16.07,3302.826431,0,0,0
1340,1.97,63,42.6,2022.1430710000002,0,0,1
1341,1.55,125,27.13,2474.840685,0,0,0
1342,3.61,63,16.91,2197.627593,0,0,1
1343,3.76,50,17.18,1776.363368,0,0,1
1344,3.35,63,22.42,1778.796716,0,0,0
1345,2.93,63,38.3,3042.087322,0,0,1
1346,1.56,90,15.31,1322.3936130000002,0,0,0
1347,2.06,63,17.34,1538.624334,0,1,0
1348,2.89,125,42.1,4866.964563,0,0,1
1349,3.87,50,16.09,1890.871072,0,0,0
1350,1.98,125,9.62,2225.578941,0,1,0
1351,3.5,90,17.99,3382.5426850000003,0,1,0
1352,3.39,63,30.88,3132.556929,0,1,0
1353,1.44,90,45.63,2205.272159,0,0,1
1354,3.37,200,29.77,7778.072623,0,0,1
1355,2.65,50,27.15,1615.500129,0,1,0
1356,2.01,200,18.03,4806.095324,0,0,1
1357,3.34,63,21.03,2565.277808,0,1,0
1358,3.68,63,31.55,2954.2729870000003,0,0,0
1359,4.35,90,23.7,5003.465787,0,0,0
1360,2.18,250,15.98,5942.643771,0,0,1
1361,2.65,200,31.77,6998.293976000001,0,1,0
1362,2.41,200,19.44,4515.201602,0,1,0
1363,3.41,450,15.37,13064.01953,0,0,0
1364,4.13,125,11.67,4382.77361,0,1,0
1365,1.59,125,24.51,2739.401731,0,1,0
1366,1.73,200,30.4,5368.523229,0,1,0
1367,1.93,90,25.11,2085.6083670000003,0,0,0
1368,3.24,63,30.03,2689.3631219999997,0,0,0
1369,2.75,125,36.09,4809.301565,0,0,0
1370,3.68,200,28.03,9527.541076000001,0,0,0
1371,2.45,63,18.78,1700.448713,0,1,0
1372,1.37,315,26.06,5439.471826,0,1,0
1373,2.14,90,14.94,2060.2308559999997,0,0,1
1374,2.34,90,19.03,2263.027783,0,0,0
1375,1.34,63,11.71,738.5895641,0,1,0
1376,4.05,200,21.03,8706.101742,0,0,0
1377,3.5,90,16.01,3019.299544,0,1,0
1378,3.15,200,27.93,9186.165383,0,0,0
1379,1.72,90,27.7,2358.451521,0,0,0
1380,2.89,63,15.07,1531.68867,0,1,0
1381,3.37,90,22.0,2827.763081,0,0,0
1382,2.61,50,47.59,1984.1614739999998,0,1,0
1383,1.5,90,19.32,1666.400173,0,0,0
1384,1.66,125,26.62,2182.895544,0,1,0
1385,1.59,200,26.89,4636.77251,0,0,1
1386,2.34,63,14.42,1414.418701,0,1,0
1387,1.52,90,16.24,1410.126125,0,0,0
1388,2.84,63,25.19,2496.35675,0,0,1
1389,3.15,200,41.93,10301.33636,0,0,1
1390,4.31,315,12.59,10203.68705,0,0,1
1391,2.54,63,22.84,1861.2027469999998,0,1,0
1392,2.02,63,30.42,1906.7694510000001,0,1,0
1393,4.28,125,28.01,6784.226199,0,0,1
1394,2.07,50,19.16,1387.604076,0,0,1
1395,2.86,63,29.25,2490.599777,0,0,1
1396,2.39,125,39.42,3627.823711,0,0,1
1397,3.16,200,18.44,6128.877637,0,0,0
1398,4.6,90,14.68,3801.836627,0,0,0
1399,2.66,450,18.0,12317.66565,0,0,1
1400,4.11,90,19.92,4460.882878,0,0,1
1401,1.82,200,25.82,5003.202892,0,1,0
1402,4.4,63,24.59,3099.659558,0,1,0
1403,2.75,50,19.69,1496.9408859999999,0,0,0
1404,1.16,250,11.94,2777.5239309999997,0,0,0
1405,2.38,63,20.15,1822.0906760000003,0,0,1
1406,2.85,90,24.33,3004.290122,0,1,0
1407,3.57,90,30.47,4474.773843999999,0,0,1
1408,2.21,125,24.93,4079.085785,0,0,0
1409,2.05,125,45.91,4394.421412,0,0,1
1410,1.91,125,31.85,3421.9398340000002,0,0,0
1411,2.42,315,11.89,7166.326486,0,0,0
1412,3.86,90,30.76,4901.354903,0,0,0
1413,2.67,125,26.93,4368.537484,0,0,0
1414,1.64,200,13.17,2640.466388,0,1,0
1415,3.24,90,31.97,3280.86049,0,1,0
1416,2.48,90,12.44,2151.692952,0,1,0
1417,3.5,125,29.95,6643.8574340000005,0,0,1
1418,1.32,315,35.37,6961.156776000001,0,0,1
1419,1.66,315,19.68,5493.530522999999,0,1,0
1420,2.27,63,18.68,1582.784007,0,0,0
1421,2.68,125,12.64,2957.220532,0,0,1
1422,3.56,50,30.14,2431.942675,0,1,0
1423,1.15,63,9.75,593.411487,0,0,0
1424,2.47,125,33.26,4958.19906,0,0,1
1425,2.08,90,35.6,2727.927532,0,0,1
1426,3.55,200,29.78,10721.13582,0,0,0
1427,2.17,63,18.41,1518.595575,0,0,0
1428,3.18,200,9.57,6177.455885,0,0,0
1429,3.54,90,23.46,3184.253716,0,0,0
1430,2.64,90,25.75,2864.798555,0,0,0
1431,3.27,200,17.69,6970.351845,0,0,0
1432,2.31,63,20.8,1602.087899,0,0,1
1433,3.55,50,37.29,2820.713549,0,0,1
1434,2.14,125,17.39,2956.754582,0,0,0
1435,1.65,125,21.08,2695.612204,0,0,0
1436,2.4,63,27.86,2061.767031,0,0,0
1437,1.94,63,21.92,1376.7749820000001,0,1,0
1438,2.97,50,28.5,2172.484379,0,1,0
1439,3.21,200,18.7,6948.126065,0,0,0
1440,2.23,125,33.35,4439.731164,0,0,0
1441,1.71,200,14.5,4163.2624049999995,0,0,0
1442,4.15,90,13.97,3587.386218,0,0,1
1443,3.65,63,42.88,3553.119036,0,0,0
1444,1.72,63,34.01,1156.031129,0,0,1
1445,2.34,315,24.6,8356.244308,0,0,0
1446,1.76,250,25.83,6122.356693,0,1,0
1447,3.09,90,20.28,3506.9800630000004,0,0,1
1448,2.42,250,23.69,8925.820486,0,0,0
1449,2.64,63,14.85,1657.6491039999999,0,1,0
1450,3.2,63,36.57,2746.9218379999998,0,1,0
1451,3.13,250,16.1,8546.315235,0,1,0
1452,3.75,315,16.45,10427.26829,0,1,0
1453,1.11,125,27.8,1843.964005,0,0,1
1454,2.58,63,14.9,1462.361339,0,0,1
1455,4.35,125,20.72,5276.95915,0,0,0
1456,2.27,90,34.01,2938.284743,0,0,1
1457,3.01,50,18.39,1617.8234109999999,0,0,0
1458,2.19,200,31.55,19847.6443,1,0,1
1459,2.27,63,15.14,4476.588985,1,0,0
1460,2.28,200,15.64,11158.1442,1,0,0
1461,2.4,200,39.23,16913.61158,1,0,1
1462,4.32,200,17.81,25821.70341,1,0,0
1463,3.19,50,38.0,6496.162389,1,1,0
1464,3.3,200,16.52,20776.754419999997,1,0,0
1465,2.01,90,38.9,8451.187614,1,1,0
1466,1.48,315,29.17,14472.12811,1,1,0
1467,1.13,90,33.23,3936.872913,1,1,0
1468,1.32,125,28.64,4803.465029999999,1,0,0
1469,3.97,50,18.2,6715.047170999999,1,0,0
1470,1.79,50,20.62,3360.9339649999997,1,0,0
1471,2.13,125,12.62,7763.034938,1,1,0
1472,4.46,125,34.53,24152.00358,1,0,0
1473,3.27,63,23.67,6727.571073,1,0,0
1474,2.41,90,17.7,6830.508459999999,1,0,0
1475,3.4,63,28.33,9538.069221,1,0,0
1476,4.47,90,16.89,12055.53077,1,0,0
1477,2.09,63,28.58,5037.133975,1,0,0
1478,1.21,125,12.17,3645.694283,1,0,0
1479,1.13,90,22.02,3710.0357299999996,1,1,0
1480,1.46,63,22.97,3134.259153,1,0,0
1481,1.98,63,25.35,4093.6449310000003,1,0,0
1482,1.89,90,31.54,6862.608711,1,0,1
1483,2.27,250,35.47,25538.37358,1,0,1
1484,2.67,315,29.72,31882.258019999997,1,0,1
1485,2.49,63,22.59,5677.874227,1,0,1
1486,2.95,200,21.63,18090.57548,1,0,0
1487,1.33,200,34.31,10155.47528,1,0,0
1488,1.23,50,22.74,2473.4294170000003,1,0,0
1489,3.55,125,30.41,18469.6613,1,0,0
1490,2.58,90,13.8,8089.005343000001,1,0,0
1491,2.95,200,18.24,19848.33188,1,1,0
1492,2.28,250,39.7,23694.542830000002,1,1,0
1493,2.98,125,32.55,16971.92218,1,0,0
1494,4.0,90,19.52,11620.26721,1,0,1
1495,1.94,63,22.01,4850.740992,1,0,0
1496,1.88,90,15.09,4846.676321,1,1,0
1497,3.04,63,40.09,9736.08112,1,1,0
1498,3.94,125,20.3,18974.068919999998,1,1,0
1499,4.07,63,35.32,9026.310431999998,1,0,0
1500,3.74,63,18.24,6107.779428,1,0,1
1501,2.2,50,25.28,3586.980852,1,0,1
1502,4.47,90,22.5,13983.181330000001,1,0,0
1503,4.06,90,45.7,15121.200469999998,1,0,1
1504,2.71,200,28.76,20299.41945,1,0,1
1505,3.29,125,13.39,9305.373196999999,1,0,0
1506,1.54,63,36.24,4546.611155,1,1,0
1507,2.26,125,15.68,8458.305249,1,1,0
1508,2.43,50,18.76,3887.9339579999996,1,0,0
1509,2.78,50,26.18,5417.696612,1,1,0
1510,2.41,63,17.39,4816.647272,1,0,1
1511,1.74,90,21.04,4962.791716,1,0,0
1512,3.01,125,39.04,14025.79495,1,0,0
1513,3.97,63,19.27,8678.999619,1,0,1
1514,2.43,90,27.48,9669.882307,1,1,0
1515,2.28,250,32.28,20934.56029,1,0,1
1516,2.48,125,16.45,9378.035264,1,0,0
1517,3.49,200,17.59,21254.39061,1,0,0
1518,3.25,125,43.28,17270.89514,1,0,0
1519,3.59,50,34.46,8681.307588,1,0,0
1520,2.4,125,18.06,9445.388623,1,1,0
1521,1.67,90,22.98,5530.159565999999,1,0,0
1522,3.59,63,27.39,9485.710006,1,0,0
1523,2.68,250,15.02,23031.51832,1,0,0
1524,2.81,50,34.16,7163.229939,1,0,0
1525,3.92,90,32.4,15098.68441,1,1,0
1526,3.61,50,11.59,4582.118613000001,1,0,0
1527,3.23,50,39.58,6679.716127000001,1,0,1
1528,1.87,125,34.42,8545.754406,1,1,0
1529,2.7,250,44.04,31394.237869999997,1,1,0
1530,2.51,63,20.21,6149.005506,1,0,0
1531,3.05,125,22.76,11925.494009999999,1,0,1
1532,2.9,125,33.79,15055.31721,1,0,0
1533,4.28,50,20.8,8044.603327,1,0,0
1534,2.19,125,29.44,11330.57577,1,0,0
1535,3.97,250,32.92,36139.48112,1,0,1
1536,3.17,200,28.32,20578.464490000002,1,1,0
1537,4.32,315,16.67,38368.85871,1,0,0
1538,2.16,250,34.41,26370.57711,1,1,0
1539,2.04,90,12.1,4780.497469,1,0,1
1540,3.19,63,17.92,6553.9980049999995,1,0,0
1541,4.39,90,17.18,10233.78171,1,0,1
1542,2.82,250,41.9,28007.54805,1,1,0
1543,3.42,125,18.31,12818.859709999999,1,0,0
1544,2.37,63,32.48,5866.1968799999995,1,0,0
1545,2.74,63,19.64,5485.320002,1,0,0
1546,2.19,450,18.82,27822.327960000002,1,1,0
1547,2.55,90,16.88,5423.746370000001,1,0,1
1548,2.07,63,32.44,5047.359976,1,0,0
1549,2.64,50,14.18,4061.540932,1,0,0
1550,1.89,90,25.57,5716.516701,1,0,0
1551,2.58,125,24.25,12139.62549,1,0,0
1552,4.64,63,25.66,12666.536909999999,1,0,0
1553,4.09,63,28.06,10562.976209999999,1,1,0
1554,1.69,200,16.63,10466.52103,1,0,1
1555,3.14,200,30.64,19918.69921,1,0,0
1556,4.32,200,26.48,26003.932530000002,1,0,0
1557,1.27,200,17.88,8507.866645,1,0,0
1558,2.24,63,33.92,5257.879893,1,0,0
1559,2.31,90,20.1,7037.554659,1,1,0
1560,2.29,63,37.97,6968.321072,1,0,0
1561,2.31,90,16.76,6363.736776,1,0,0
1562,2.96,250,27.64,33403.91774,1,0,0
1563,2.83,90,24.98,9145.436156,1,0,0
1564,1.26,63,34.64,3102.120129,1,0,1
1565,1.8,200,23.74,10085.39803,1,0,0
1566,3.58,63,25.54,8540.425975,1,0,0
1567,2.99,90,29.97,12298.627359999999,1,1,0
1568,4.21,63,34.66,11960.54738,1,1,0
1569,3.03,250,28.96,28130.38399,1,0,1
1570,1.9,250,30.86,18858.77204,1,0,1
1571,3.6,90,33.6,10590.22409,1,0,0
1572,2.39,90,29.79,8531.007533,1,0,1
1573,2.33,90,22.55,7581.444565000001,1,0,0
1574,2.24,90,19.78,5604.914867,1,0,0
1575,1.76,125,16.71,5860.665427,1,1,0
1576,2.9,90,19.96,10255.4937,1,0,0
1577,1.81,63,21.57,3121.895714,1,0,0
1578,1.64,90,14.0,4182.539807,1,0,0
1579,3.43,90,24.81,10439.357890000001,1,1,0
1580,3.42,50,21.06,6642.817526,1,1,0
1581,2.95,200,13.62,14556.468630000001,1,0,0
1582,1.92,450,19.6,28762.93203,1,0,0
1583,3.72,90,19.33,10832.50322,1,0,1
1584,3.59,63,15.31,6570.563411,1,0,1
1585,3.77,125,16.38,17204.85641,1,0,0
1586,3.41,90,17.48,10215.487140000001,1,0,0
1587,1.91,63,30.09,5236.7690299999995,1,1,0
1588,2.77,125,32.22,14850.414690000001,1,0,1
1589,1.68,315,25.43,18254.83638,1,0,0
1590,2.66,90,31.34,9308.218095999999,1,0,0
1591,1.35,90,46.33,4394.91935,1,0,0
1592,1.97,90,33.99,7243.486603,1,0,1
1593,3.24,200,18.81,20477.679640000002,1,0,0
1594,3.61,90,26.16,13005.100620000001,1,1,0
1595,1.96,90,35.42,6763.990965000001,1,1,0
1596,2.58,125,27.89,13013.36963,1,0,1
1597,3.36,125,18.1,12043.12423,1,1,0
1598,4.24,125,24.74,20342.73728,1,0,0
1599,1.76,125,21.68,5954.158663,1,0,0
1600,2.24,50,13.67,2644.297513,1,1,0
1601,2.25,90,23.32,7238.181718000001,1,0,0
1602,2.08,90,31.27,7907.231093,1,0,0
1603,2.11,250,10.75,12849.60074,1,0,0
1604,3.12,90,20.24,10144.492909999999,1,0,1
1605,1.62,63,16.38,3009.949632,1,0,0
1606,3.9,90,18.75,11612.6348,1,0,1
1607,2.1,63,31.63,5014.426187,1,1,0
1608,4.6,90,21.24,16945.59143,1,0,0
1609,2.85,250,32.37,26944.99605,1,1,0
1610,3.15,250,17.44,27079.90923,1,0,0
1611,2.89,50,18.99,4788.836289,1,1,0
1612,2.46,315,17.56,25617.84829,1,0,0
1613,2.27,90,38.8,8752.346497,1,1,0
1614,3.29,63,24.63,8002.115028,1,0,0
1615,3.9,90,38.73,15848.260409999999,1,0,0
1616,1.67,90,12.82,3502.987149,1,1,0
1617,3.41,63,32.52,8912.313376,1,1,0
1618,1.92,90,22.99,6080.360372,1,0,0
1619,1.59,90,16.01,4357.398387,1,0,0
1620,2.15,63,25.74,5655.206438,1,1,0
1621,3.57,200,24.01,22809.55281,1,0,0
1622,2.25,200,27.05,17501.439430000002,1,0,0
1623,3.06,125,24.59,14022.14153,1,0,1
1624,4.56,90,22.73,16257.36145,1,0,0
1625,1.88,125,27.31,8959.612634000001,1,0,1
1626,4.24,90,26.69,12035.71698,1,1,0
1627,1.49,90,31.3,5466.796946,1,0,0
1628,3.2,125,20.07,13304.730759999999,1,0,1
1629,3.68,90,13.22,10200.61853,1,1,0
1630,1.81,125,31.06,9870.812344,1,0,0
1631,1.91,90,11.28,3550.5484049999995,1,0,0
1632,2.54,90,11.71,6155.3716,1,0,1
1633,1.98,315,11.88,15618.80298,1,0,0
1634,3.24,125,46.86,22529.43005,1,1,0
1635,3.49,90,26.78,12995.080259999999,1,1,0
1636,3.17,125,23.83,15042.586780000001,1,0,0
1637,3.39,90,25.92,11685.150309999999,1,1,0
1638,1.21,63,21.98,2566.9791969999997,1,0,0
1639,3.47,315,12.28,29183.75096,1,1,0
1640,1.96,90,17.56,5524.84695,1,0,0
1641,2.92,250,23.8,23314.48224,1,0,0
1642,4.06,200,37.27,35657.974780000004,1,0,1
1643,2.03,90,22.37,6909.215969,1,0,0
1644,2.18,450,18.82,33259.45895,1,0,0
1645,1.88,315,26.25,21200.42372,1,0,0
1646,2.64,90,36.29,9682.7099,1,0,0
1647,2.66,90,29.68,8412.53732,1,1,0
1648,2.64,315,9.75,19038.24455,1,0,1
1649,2.35,125,26.67,11428.68345,1,0,0
1650,2.74,63,45.77,8542.567012000001,1,0,0
1651,2.01,200,43.38,16832.05197,1,0,0
1652,2.72,125,34.89,13577.63348,1,0,0
1653,1.14,125,40.93,6751.749742,1,0,0
1654,1.69,90,19.75,5301.686508,1,0,0
1655,2.23,125,21.78,9357.499681000001,1,0,1
1656,3.68,200,37.17,29494.5815,1,0,0
1657,3.37,63,36.15,8543.735675,1,0,0
1658,2.0,250,38.41,21433.757569999998,1,0,0
1659,2.07,90,19.05,6847.444181999999,1,0,0
1660,3.23,200,24.95,19420.20135,1,0,1
1661,2.88,63,16.05,5764.992182999999,1,0,0
1662,3.72,200,13.66,17118.31289,1,0,0
1663,1.97,315,31.47,24000.78736,1,0,0
1664,1.25,90,16.63,3584.2546030000003,1,1,0
1665,2.14,90,43.61,9015.582975,1,0,0
1666,1.12,90,45.79,4670.09888,1,0,0
1667,2.15,450,28.97,37783.54954,1,0,0
1668,2.1,90,30.91,8215.160503000001,1,1,0
1669,3.59,63,33.21,9431.280289,1,0,0
1670,1.36,125,33.7,6267.583981000001,1,1,0
1671,2.91,90,43.49,9712.68099,1,0,0
1672,1.93,90,22.09,5661.890606,1,0,0
1673,3.86,63,45.95,10804.17472,1,1,0
1674,4.15,63,42.35,9347.611020999999,1,0,0
1675,2.72,63,33.61,6690.733958,1,0,0
1676,4.23,250,12.23,31975.2076,1,0,1
1677,1.19,90,22.69,3499.0763939999997,1,1,0
1678,2.15,200,21.97,15696.76176,1,0,1
1679,2.76,63,29.05,5968.933385,1,1,0
1680,4.7,200,30.62,31823.685339999996,1,0,0
1681,2.61,63,35.68,6680.1290340000005,1,0,0
1682,2.11,200,22.16,13593.10129,1,1,0
1683,2.7,63,25.05,5531.344303,1,0,0
1684,1.69,250,23.95,17062.46764,1,0,0
1685,2.17,50,42.57,5179.993068,1,0,0
1686,3.67,90,18.62,11417.66535,1,0,0
1687,2.09,63,24.57,4469.870264,1,0,0
1688,3.96,50,32.33,7887.9576799999995,1,0,0
1689,2.14,125,23.12,8747.233073000001,1,0,0
1690,1.57,90,43.33,6419.375043999999,1,0,0
1691,2.41,90,20.61,5759.9948079999995,1,1,0
1692,2.87,250,15.11,20669.016669999997,1,0,1
1693,2.2,90,27.48,7541.73685,1,0,0
1694,2.1,90,23.31,7374.784062999999,1,0,0
1695,2.87,50,20.9,4963.713842,1,1,0
1696,1.29,90,18.1,3632.0864579999998,1,0,0
1697,3.1,125,36.75,16288.324190000001,1,1,0
1698,1.76,90,25.14,6962.1877269999995,1,0,0
1699,4.32,200,24.54,29330.96709,1,0,0
1700,3.02,250,44.59,41116.63341,1,1,0
1701,3.45,90,13.27,8850.891065,1,0,1
1702,1.82,90,38.1,6870.420844,1,0,0
1703,3.58,200,22.32,22689.59264,1,1,0
1704,1.99,125,39.42,9763.798822,1,0,0
1705,3.08,200,8.16,12046.44745,1,0,0
1706,2.91,125,45.18,15468.67591,1,0,0
1707,2.83,315,19.82,25366.09384,1,0,0
1708,1.82,90,26.68,6396.044268,1,0,0
1709,2.52,125,35.94,13219.029129999999,1,0,0
1711,3.18,63,33.26,7487.133620999999,1,0,1
1712,1.73,90,49.1,7842.810789,1,0,0
1713,3.27,125,24.32,15762.45336,1,0,0
1714,3.07,90,13.79,6784.339381000001,1,1,0
1715,1.7,125,16.65,6002.037806,1,0,0
1716,3.91,63,30.21,9209.079734,1,0,0
1717,1.61,63,14.74,2471.235699,1,1,0
1718,2.87,90,30.37,11288.22147,1,0,1
1719,3.58,315,23.2,40265.41416,1,0,0
1720,2.18,63,31.78,6072.8757780000005,1,1,0
1721,1.64,125,25.74,6774.43971,1,0,0
1722,2.77,200,9.97,13029.09232,1,0,0
1723,3.56,200,28.48,28098.327189999996,1,0,0
1724,3.31,90,20.75,9133.178375,1,0,0
1725,1.16,90,28.91,4457.627001,1,0,0
1726,2.09,90,15.87,5419.900928,1,0,0
1727,2.93,90,13.17,7010.280392000001,1,0,0
1728,2.52,90,38.25,10470.27701,1,0,0
1729,2.08,63,22.35,4739.481554999999,1,0,1
1730,2.8,200,29.26,23298.390919999998,1,1,0
1731,2.22,50,34.46,4635.097392000001,1,1,0
1732,3.96,63,17.44,8620.644255,1,0,0
1733,2.67,90,30.65,8862.675075,1,0,1
1734,2.02,90,25.98,7180.217698,1,1,0
1735,2.5,50,14.89,3720.734117,1,0,1
1736,1.12,90,28.94,2929.175671,1,0,0
1737,1.94,450,31.73,33412.53632,1,0,0
1738,3.16,200,23.55,20453.33775,1,1,0
1739,3.34,90,32.56,13537.69096,1,1,0
1740,2.32,63,30.45,6502.245838,1,0,0
1741,1.33,50,23.94,2554.780573,1,1,0
1742,1.72,90,28.99,6051.727457,1,0,0
1743,1.77,250,37.12,18756.37822,1,0,0
1744,2.84,63,27.3,6426.94593,1,0,0
1745,2.04,200,17.09,14018.13241,1,0,0
1746,2.39,125,26.09,11677.254009999999,1,1,0
1747,3.9,50,17.11,6139.729386999999,1,0,1
1748,4.12,90,12.08,9739.409,1,0,0
1749,2.11,200,17.67,14613.15041,1,0,0
1750,2.33,90,16.45,6739.563776000001,1,0,0
1751,1.21,125,20.18,5070.498645000001,1,0,0
1752,3.53,50,22.24,5968.77859,1,0,0
1753,1.96,125,19.97,8495.427770999999,1,1,0
1754,3.7,90,19.61,10146.94391,1,0,1
1755,2.09,200,17.51,10752.110279999999,1,0,0
1756,2.29,90,9.8,5356.794470000001,1,0,0
1757,3.32,315,34.95,35378.14271,1,1,0
